ID_Ra_500prod,Navn,DSK Kategori,Name,DSK Category,Unit,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Total kg CO2-eq/kg,Energi (KJ/100 g),Fedt (g/100 g),Kulhydrat (g/100 g),Protein (g/100 g),Data sources,Comments,"GPC brick no, level 4",ID_food,ID_pack,ID_retail,GPC Category,GPC Kategori,"GPC brick no, level 4.1",Unnamed: 26,"GPC brick no, level 1",Unnamed: 28,"GPC brick no, level 2",Unnamed: 30,"GPC brick no, level 3",Unnamed: 32,Ekstra kategorier
Ra00011,"Oksekød, mørbrad, afpudset, rå",Kød/fjerkræ,"Beef, fillet, defatted, raw",Meat/poultry,kg,133.4486253281968,25.848536051693756,-8.112714068616318,0.1406239708057012,0.6284535532826891,0.0003263600625320798,151.95385119542516,576.0,6.4,0,20,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0035,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000.0,Food/Beverage/Tobacco,50240000.0,Meat/Poultry/Other Animals,50240200.0,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00012,"Oksekød, hakket, 10-15% fedt, rå",Kød/fjerkræ,"Beef, mince, 10-15% fat, raw",Meat/poultry,kg,28.57969235221314,5.455676560232443,-1.782843004695001,0.1406239708057012,0.1210918600476306,0.0003263600625320798,32.51456809866644,687.0,9.7,0,19.4,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.,It has been assumed that the food processing industry is located in Denmark. Mass balance for a minced beef with 15% fat. Standard minced beef from beef trimmings is assumed to have 30% fat. Excess fat modelled as a by-product. No manufacturing data included (neglected). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10005786,Fa0037,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000.0,Food/Beverage/Tobacco,50240000.0,Meat/Poultry/Other Animals,50240200.0,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00013,"Oksekød, culotte, rå",Kød/fjerkræ,"Beef, rump, raw",Meat/poultry,kg,39.64903098366864,7.682564523726547,-2.410375158808385,0.1406239708057012,0.6284535532826891,0.0003263600625320798,45.69062423273772,879.0,14.9,0,19.3,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0034,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000.0,Food/Beverage/Tobacco,50240000.0,Meat/Poultry/Other Animals,50240200.0,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00014,"Oksekød, hakket, 15-20% fedt, rå",Kød/fjerkræ,"Beef, mince, 15-20% fat, raw",Meat/poultry,kg,26.89853397855354,5.157794219264052,-1.474250460392138,0.1406239708057012,0.117185671013836,0.0003263600625320798,30.840213739307526,903.0,16.2,0,17.8,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.,It has been assumed that the food processing industry is located in Denmark. Mass balance for a minced beef with 20% fat. Standard minced beef from beef trimmings is assumed to have 30% fat. Excess fat modelled as a by-product. No manufacturing data included (neglected). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10005786,Fa0038,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000.0,Food/Beverage/Tobacco,50240000.0,Meat/Poultry/Other Animals,50240200.0,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00015,"Oksekød, tyndsteg med mørbrad, rå",Kød/fjerkræ,"Beef, T-bone steak, raw",Meat/poultry,kg,70.72374322050618,13.700739140353717,-4.299493570646604,0.1406239708057012,0.6284535532826891,0.0003263600625320798,80.89439267436421,878.0,14.4,0,20.3,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0036,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000.0,Food/Beverage/Tobacco,50240000.0,Meat/Poultry/Other Animals,50240200.0,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00016,"Oksekød, hakket, 5-10% fedt, rå",Kød/fjerkræ,"Beef, mince, 5-10% fat, raw",Meat/poultry,kg,30.26085072587274,5.753558901200834,-2.091435548997866,0.1406239708057012,0.1249980490814251,0.0003263600625320798,34.18892245802537,683.0,9.5,0,19.5,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.,It has been assumed that the food processing industry is located in Denmark. Mass balance for a minced beef with 10% fat. Standard minced beef from beef trimmings is assumed to have 30% fat. Excess fat modelled as a by-product. No manufacturing data included (neglected). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10005786,Fa0039,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000.0,Food/Beverage/Tobacco,50240000.0,Meat/Poultry/Other Animals,50240200.0,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00017,"Øl, pilsner, 4.4 % vol.",Drikkevarer,"Beer, lager, alc. 4.4 % by vol.",Beverages,kg,0.0680643906884677,0.04988631512301776,0.2445093604832288,0.15667680740149,0.06894027804008142,0.009920946706367229,0.597998098442653,152.0,0.0,2.7,0.3,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016).",It has been assumed that the food processing industry is located in Denmark. Data obtained as arithmetic averages from 6 studies. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000159,Fa0013,Pa005,Ma0332,Beverages,Drikkevarer,10000159,Beer,50000000.0,Food/Beverage/Tobacco,50200000.0,Beverages,50202200.0,Alcoholic Beverages (Includes De-Alcoholised Variants),
Ra00018,"Øl, hvidtøl, letøl",Drikkevarer,"Beer, Danish household, low alcohol",Beverages,kg,0.0680643906884677,0.04988631512301776,0.2445093604832288,0.15667680740149,0.06894027804008142,0.009920946706367229,0.597998098442653,189.0,0.0,8.6,0.3,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016).",It has been assumed that the food processing industry is located in Denmark. Data obtained as arithmetic averages from 6 studies. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000159,Fa0013,Pa005,Ma0332,Beverages,Drikkevarer,10000159,Beer,50000000.0,Food/Beverage/Tobacco,50200000.0,Beverages,50202200.0,Alcoholic Beverages (Includes De-Alcoholised Variants),
Ra00019,"Øl, stærk, 7,6 % vol.",Drikkevarer,"Beer, strong, alc. 7.6 % by vol.",Beverages,kg,0.0680643906884677,0.04988631512301776,0.2445093604832288,0.15667680740149,0.06894027804008142,0.009920946706367229,0.597998098442653,260.0,0.0,4.6,0.4,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016).",It has been assumed that the food processing industry is located in Denmark. Data obtained as arithmetic averages from 6 studies. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000159,Fa0013,Pa005,Ma0332,Beverages,Drikkevarer,10000159,Beer,50000000.0,Food/Beverage/Tobacco,50200000.0,Beverages,50202200.0,Alcoholic Beverages (Includes De-Alcoholised Variants),
Ra00020,"Kiks, Marie",Brød/bageartikler,"Biscuit, sweet",Bread/bakery products,kg,0.5868954962137483,0.1249618303800042,1.219359708443817,0.6673476038932485,0.1410057309942549,0.009920946706367229,2.74949131663144,1834.0,10.6,72.5,7.7,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Approximated as gluten-free biscuits according to Noya et al. (2018), where we replace oat, maize and rice flour inputs by wheat flour. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0073,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
Ra00021,"Kiks, fuldkorns-, digestivetype",Brød/bageartikler,"Biscuit, wholemeal, digestive type",Bread/bakery products,kg,0.537606112188904,0.14349164753854024,1.230405203179975,0.6673476038932485,0.1410057309942549,0.009920946706367229,2.72977724450129,1931.0,16.5,66.5,7.1,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Approximated as gluten-free biscuits according to Noya et al. (2018), where we replace oat, maize and rice flour inputs by whole wheat flour. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0074,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
Ra00022,"Småkage, hvede, traditionelle danske, industrifremstillet",Brød/bageartikler,"Butter cookie, wheat, Danish, industrially produced",Bread/bakery products,kg,0.631161915416409,0.13879418786152198,1.423497388431715,0.6673476038932485,0.1104670258757094,0.009920946706367229,2.9811890681849715,2174.0,27.1,61.7,5.4,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020t); Tasty (2020a); Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Recipe is an estimate from the nutritional composition and declared butter content in Open Food Facts (2020t). The coconut content assumes 5% according to the weight of this ingredient in Tasty (2020a).  A food loss during production of 2% is assumed, and the input of ingredients is adjusted accordingly. All other inputs are assumed as in biscuits (Noya et al. 2018). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0158,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
Ra00023,"Småkage, cookie (amerikansk type), industrifremstillet",Brød/bageartikler,American inspired cookie,Bread/bakery products,kg,0.537606112188904,0.14349164753854024,1.230405203179975,0.6673476038932485,0.1410057309942549,0.009920946706367229,2.72977724450129,2139.0,26.5,58.4,5.9,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Approximated as gluten-free biscuits according to Noya et al. (2018), where we replace oat, maize and rice flour inputs by whole wheat flour. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0074,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
Ra00024,Müslibar,Brød/bageartikler,Granola bar,Bread/bakery products,kg,1.195752655985643,0.43073041113672195,0.4501917033580362,0.6673476038932485,0.1303768330802162,0.009920946706367229,2.8843201541602332,1830.0,15.0,57.8,6.7,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018); Inspired taste (2019).,"It has been assumed that the food processing industry is located in Denmark. Recipe obtained from a home-cooking recipe ( Inspired taste 2019), no ingredient losses accounted for. Energy use is assumed as in biscuits production in Noya et al. (2018), but we only consider electricity. Heat is excluded, as granola bars are not baked. No water use considered. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0210,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
Ra00025,Vaffelrør,Brød/bageartikler,Wafer sticks,Bread/bakery products,kg,1.383428692756768,0.11079702401220981,0.2099346895888414,0.2243731107321035,0.1601958657098513,0.009920946706367229,2.098650329506141,2133.0,25.7,63,4.6,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020e); ADEME (2020h); Konstantas et al. (2019); DTU (2019).,"It has been assumed that the food processing industry is located in Denmark. The ingredients chocolate and nuts are obtained from Nemlig (2020e) for a commercial product from 'Royal' brand. Roasted nuts are modelled as roasted cashew nuts. Other ingredients from Agribalyse for crèpe production (ADEME 2020h). A mass balance is carrried out assuming that the final product will have 97% dry mass acording to the FRIDA database (DTU 2019), which is much higher than in ingredients. It is estimated that per kg final product, 1.9 kg ingredients are needed and 0.9 kg water are evaporated. Manufacturing energy assumed as average for cakes from Konstantas et al. (2018). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0211,Pa043,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
Ra00026,Rasp,Brød/bageartikler,Bread-crumbs,Bread/bakery products,kg,0.5797787252958749,0.06631486780584687,0.4248664707179219,0.04456465159622233,0.1380514870809716,0.009920946706367229,1.263497149203205,1488.0,1.5,69.8,11.6,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014).","It has been assumed that the food processing industry is located in Denmark. Assumed as rye crispbread, only replacing rye bread input by wheat bread. Rye crispbread is toasted bread (baking fresh bread for a second time to obtain toasted bread). The input is fresh bread, calculated based on the moisture loss from fresh to toasted according to two products in Open Food Facts (2020a, 2020b). Manufacturing data assumed same as fresh bread from Jensen and Arlbjørn (2014). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000166,Fa0005,Pa001,Ma0332,Bread/bakery products,Brød/bageartikler,10000166,Dried Breads (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
Ra00027,"Knækbrød, rug-, groft",Brød/bageartikler,"Crispbread, knackebrot, rye, coarse",Bread/bakery products,kg,0.4137432043127577,0.0472145846046204,0.4248874398264478,0.04456465159622233,0.1380514870809716,0.009920946706367229,1.0783823141273872,1449.0,2.0,61,10.2,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014).","It has been assumed that the food processing industry is located in Denmark. Toasted bread (baking fresh bread for a second time to obtain toasted bread). The input is fresh bread, calculated based on the moisture loss from fresh to toasted according to two products in Open Food Facts (2020a, 2020b). Manufacturing data assumed same as fresh bread from Jensen and Arlbjørn (2014). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000166,Fa0003,Pa001,Ma0332,Bread/bakery products,Brød/bageartikler,10000166,Dried Breads (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50180000.0,Bread/Bakery Products,50182100.0,Biscuits/Cookies,
